usluga,price
<strong><span>Общие процедуры</span></strong>
Осмотр пациента и консультация,бесплатно
Рентгенография,40
Анестезия аппликационная,40
Анестезия проводниковая,40
Оказание помощи при острой боли,120
Использование коффердама,70
<strong><span>Пломбирование и реставрация</span></strong>
Фотополимерная пломба - поверхностный кариес,350
Фотополимерная пломба - средний кариес,450
Фотополимерная пломба - глубокий кариес,500
Художественная реставрация зубов,от 800
<strong><span>Лечение корневых каналов и хирургия</span></strong>
Удаление инородного тела из корневого канала,240
Временное пломбирование с кальцием 1 корневой канал,120
Стекловолоконный штифт+цементировка,420
Наложение Девит-пасты,100
Механическая и медикаментозная обработка корневых каналов; пломбирование; 1 канал зуба,280
Удаление зуба (анестезия; рентген; удаление; кюретаж),от 450
Удаление атипичного зуба (анестезия; рентген; удаление; медикаментозная обработка; наложение швов),от 550
<strong><span>Снятие зубных отложений</span></strong>
Снятие зубных отложений с верхней челюсти при помощи ультразвука,160
Снятие зубных отложений с нижней челюсти при помощи ультразвука,160
Кюретаж пародонтальных карманов (1 квадрант),440
Плазмолифтинг десны 1 процедура,от 350
Консультация по гигиене полости рта,50
<strong><span>Протезирование и имплантация</span></strong>
Коронка металлокерамическая (Япония или Германия),1200
Коронка керамическая на оксиде циркония,2500
Винир керамический,3500
Культевая вкладка,от 350
Цементировка  коронки,от 60
Адгезивный мост (при отсутствии 1 зуба),2100
Установка имплантата “B&B Dental”,6500
<strong><span>Отбеливание зубов</span></strong>
Лазерное отбеливание зубов,1800
Отбеливание при помощи капп,3000
<strong><span>Лечение лазером</span></strong>
Дезинфекция корневого канала,100
Коррекция десневого края в эстетической зоне,250
Иссечение десневого капюшона,390
Фотодинамическая терапия пародонтита 1 процедура,650
Удаление бородавок и папиллом,от 200
Лечение проявлений герпеса 1 процедура,от 250
Плазмолифтинг лица 1 процедура,600